srch_id,prop_id
355,8409
355,117793
355,42981
355,30261
355,102633
355,18255
355,59627
355,69200
355,17880
355,71556
355,35044
355,122060
355,104679
355,92965
355,42292
355,87421
355,43964
355,131510
355,43830
355,59976
355,440
355,58974
355,18873
355,41066
355,98428
355,135423
355,107732
355,62596
355,53290
355,32752
355,131180
498,92297
498,16706
498,111000
498,114766
498,893
498,107872
498,121764
498,49555
498,91206
498,21315
498,11103
498,85728
498,42282
498,10404
498,97247
498,68914
498,88096
498,81437
498,53341
498,92946
498,95307
498,30184
498,65606
498,56880
498,27348
498,113349
498,41488
498,74474
498,95166
498,29604
498,59526
498,89073
498,48153
498,44147
498,38571
629,88144
629,67553
629,95897
629,60906
629,117992
629,38587
629,13842
629,60404
629,77371
629,52037
629,116644
629,51893
629,6458
629,45953
629,16709
629,45094
881,31178
881,19542
881,124121
881,76947
881,127620
881,85811
881,62982
881,70281
881,27163
881,125252
881,88848
881,120834
881,38151
881,43322
881,102830
881,20685
881,17361
881,27021
881,33848
881,101619
881,137066
881,49877
881,105309
881,43823
881,107774
881,47369
881,65080
881,74736
881,76547
881,102200
881,80066
881,108789
909,53279
909,61545
909,2770
909,15990
909,76814
909,42389
909,131066
909,82699
909,35749
909,115943
909,3776
909,56603
909,31437
909,29079
909,6336
909,38130
909,45650
909,79875
909,120519
909,124497
909,20863
909,109651
909,44530
909,122752
909,41832
909,46415
909,113208
909,63470
909,10906
909,51514
909,112435
909,32073
909,54445
909,22163
938,94553
938,3854
938,86892
938,85965
938,75969
938,12238
938,121520
938,132416
938,78144
938,83313
938,60171
938,27969
938,130951
938,68544
938,125066
938,42967
938,71152
938,130869
938,130578
938,94135
938,72915
938,133815
938,90013
938,41326
938,105517
938,14844
938,19202
938,135695
938,76396
938,16651
938,54703
938,70697
938,9545
938,36531
938,1736
1017,138977
1017,30702
1017,7640
1017,9284
1017,112054
1017,31929
1017,2464
1017,114536
1017,92782
1017,10714
1017,53335
1017,29783
1017,22456
1017,48975
1017,82275
1017,52594
1017,44308
1017,130270
1017,49612
1017,52353
1017,75501
1017,3025
1067,125079
1067,19202
1067,78330
1067,104310
1067,105517
1067,110225
1067,45832
1067,56776
1067,115166
1067,139453
1067,47864
1067,97121
1067,2094
1067,14840
1067,38346
1067,33591
1067,92724
1067,6913
1067,13484
1067,3628
1067,71152
1067,27969
1067,14844
1067,72915
1067,88389
1067,1736
1067,65701
1067,54703
1067,86892
1067,123391
1067,53141
1067,76396
1067,71039
1067,9545
1175,86475
1175,45008
1175,120962
1175,8566
1175,12401
1175,52857
1175,2001
1175,122548
1175,36035
1175,16551
1175,18783
1175,128188
1175,108230
1175,16391
1175,99157
1175,136257
1175,33217
1175,24815
1175,101445
1175,99315
1175,11609
1175,139180
1175,59073
1175,37598
1175,105031
1175,130160
1175,139343
1175,14747
1175,53004
1463,61203
1463,104556
1463,60850
1463,66770
1463,87442
1463,59063
1463,97286
1463,36989
1463,44882
1463,130422
1463,74447
1463,26007
1463,96144
1463,79991
1463,117913
1463,42556
1463,120090
1463,98382
1463,128841
1463,129126
1463,52504
1463,10608
1463,63999
1463,81165
1463,70329
1463,19443
1463,78327
1463,37126
1463,23786
1463,71178
1463,81430
1475,139847
1475,29677
1475,132972
1475,1696
1475,124937
1475,45211
1475,124255
1475,116927
1475,42906
1475,24277
1475,61639
1475,131758
1475,140696
1475,96270
1475,23723
1475,105534
1475,90771
1475,101633
1475,97038
1475,63248
1475,15911
1475,924
1475,74464
1475,43025
1475,29446
1475,12197
1475,10242
1475,137301
1475,116778
1475,58817
1475,93485
1511,69194
1511,60716
1511,116203
1511,6042
1511,5589
1511,107320
1511,72846
1511,66918
1511,74525
1511,30660
1511,18649
1511,13454
1511,7361
1511,28977
1511,117234
1511,139730
1511,80733
1511,57302
1511,116681
1511,112489
1511,116232
1511,121393
1511,66942
1511,77007
1511,60610
1511,93399
1511,8192
1511,16446
1511,120003
1511,120059
1511,40966
1511,70201
1511,16594
1511,42958
2030,78891
2030,46609
2030,40314
2030,48774
2030,67296
2030,54308
2030,111963
2030,107085
2030,75443
2030,122444
2030,82146
2030,30537
2030,59705
2030,6218
2030,57104
2030,98377
2030,70065
2030,87161
2030,58703
2030,110129
2030,92197
2030,15861
2030,34095
2030,67337
2030,103793
2030,99363
2030,114125
2030,35791
2030,76377
2030,135304
2150,50426
2150,37016
2150,53456
2150,65870
2150,81705
2150,7239
2150,89250
2150,109322
2150,124856
2150,71915
2150,140800
2150,88525
2150,133114
2150,137344
2150,127240
2150,29694
2150,9220
2150,104903
2150,23654
2150,42776
2150,57641
2150,102418
2150,78351
2273,23190
2273,92161
2273,131493
2273,129631
2273,67233
2273,59962
2273,63105
2273,114174
2273,120238
2273,14480
2273,101271
2273,131414
2273,105779
2273,32798
2273,117582
2273,49084
2273,70463
2273,133509
2273,106121
2273,41438
2273,20430
2273,110258
2273,79475
2273,138452
2273,66750
2273,5322
2273,80709
2273,86188
2273,88347
2273,4080
2273,112502
2273,73058
2273,85555
2338,57325
2338,14660
2338,132976
2338,26221
2338,4595
2338,95157
2338,131686
2338,81295
2338,35246
2338,62807
2338,67746
2338,975
2338,40600
2338,78519
2338,103607
2338,4013
2338,42542
2338,85542
2338,112916
2338,93820
2338,78783
2338,94952
2338,29930
2338,67246
2338,62322
2338,29504
2338,17690
2338,43881
2338,29569
2338,5299
2338,93830
2338,22062
2662,90223
2662,94164
2662,12062
2662,48316
2662,118686
2662,132206
2662,42596
2662,54842
2662,97598
2662,24516
2662,17356
2662,105029
2662,134771
2662,105579
2662,14016
2662,42613
2662,12713
2662,102693
2662,104427
2662,57815
2662,19482
2662,57872
2662,108796
2662,82814
2662,124221
2662,115919
2662,70359
2662,85476
2662,116533
2662,94406
2931,31381
2931,21805
2931,55158
2931,58015
2931,90509
2931,34966
2931,21150
2931,2899
2931,45412
2931,100473
2931,82051
2931,90665
2931,134613
2931,11838
2931,121275
2931,18566
2931,75807
2931,25223
2931,109535
2931,34278
2931,5988
2931,129861
2931,51653
2931,125859
2931,48512
2931,114177
2931,140304
3267,10932
3267,65944
3267,113170
3267,31425
3267,103052
3267,101210
3267,66865
3267,12955
3267,94983
3267,95658
3267,77834
3267,42519
3267,22461
3267,116282
3267,56062
3267,18938
3267,27864
3267,76193
3267,111865
3267,129011
3267,140385
3267,63216
3267,36116
3267,28915
3267,85397
3267,129663
3267,7487
3308,58052
3308,51699
3308,132668
3308,115740
3308,126979
3308,96205
3308,69118
3308,100704
3308,66515
3308,67016
3308,4164
3308,14136
3308,30786
3308,9872
3308,29487
3308,15998
3308,10723
3308,89941
3308,126145
3308,105459
3308,111143
3308,74176
3308,133037
3308,107181
3308,124716
3308,120614
3308,125060
3308,82566
3308,120105
3308,40053
3308,84479
3308,27339
3308,93726
3397,41497
3397,36466
3397,125655
3397,134607
3397,66444
3397,22756
3397,83293
3397,103369
3397,136220
3397,4302
3397,67150
3397,63511
3397,90151
3397,13580
3397,11486
3397,30630
3397,116361
3397,88969
3397,13252
3397,137209
3397,6435
3397,96356
3397,119302
3397,73078
3397,27669
3397,44485
3568,66945
3568,100132
3568,33737
3568,5365
3568,31834
3568,76778
3568,14392
3568,14236
3568,5679
3568,55903
3568,102133
3568,90262
3568,76160
3568,18237
3568,125173
3568,46751
3568,81631
3568,114158
3568,47640
3568,73811
3568,104
3568,69376
3568,60516
3568,117952
3568,135671
3568,85581
3568,20972
3568,26047
3568,68115
3568,79032
3568,127299
3568,12585
3633,80230
3633,71504
3633,77247
3633,114250
3633,39673
3633,121156
3633,11683
3633,70273
3633,29517
3633,42087
3633,15151
3633,138559
3633,97625
3633,62301
3633,36580
3633,116032
3633,42047
3633,129983
3633,40083
3633,119412
3633,96039
3633,116308
3633,86912
3633,19538
3633,87760
3633,53387
3633,537
3633,120352
3633,26127
3633,76130
3633,3456
3633,128866
3633,77004
3633,65642
3694,66630
3694,76861
3694,63544
3694,23112
3694,117187
3694,44004
3694,96737
3694,101661
3694,13854
3694,122931
3694,44099
3694,122951
3694,179
3694,90072
3694,85199
3694,115951
3694,101359
3694,100848
3694,18061
3694,137603
3694,37547
3694,90667
3694,140638
3694,23330
3694,5356
3694,9622
3694,122875
3931,32112
3931,139366
3931,4875
3931,72492
3931,138470
3931,15994
3931,23268
3931,126657
3931,30593
3931,105408
3931,7880
3931,98239
3931,114304
3931,8962
3931,1230
3931,61529
3931,120497
3931,62400
3931,80475
3931,38750
3931,41712
3931,47179
3931,44923
3931,41278
3931,3213
3931,53494
3931,100685
3931,135499
3931,59546
3931,25476
3931,126665
3931,1707
3931,24685
3931,32887
4369,94839
4369,105270
4369,85978
4369,1397
4369,138172
4369,15030
4369,115525
4369,51980
4369,138908
4369,75809
4369,50009
4369,59389
4369,17234
4369,139656
4369,9440
4369,107263
4369,97963
4369,25074
4369,111756
4369,134784
4369,36057
4369,25899
4369,84968
4369,13208
4369,65207
4369,46951
4369,95914
4369,16736
4369,99694
4446,11900
4446,68539
4446,64422
4446,95668
4446,97918
4446,139374
4446,128942
4446,47127
4446,87181
4446,117516
4446,79153
4446,65413
4446,5354
4446,25628
4446,67030
4446,80478
4446,131175
4446,57911
4446,87068
4446,132217
4446,139320
4446,135172
4446,6927
4446,100157
4446,51813
4446,119193
4446,100760
4446,10509
4446,49443
4446,119232
4446,45020
4446,65629
4479,45778
4479,57157
4479,133552
4479,80179
4479,59168
4479,88781
4479,45845
4479,80107
4479,9320
4479,158
4479,130580
4479,125550
4479,119227
4479,112530
4479,122108
4479,59281
4479,14631
4479,2400
4479,3059
4479,117115
4479,133249
4479,118468
4479,69195
4479,1275
4479,65343
4479,116269
4479,41059
4479,123396
4706,3845
4706,129369
4706,91224
4706,109249
4706,134292
4706,75377
4706,62059
4706,79430
4706,127766
4706,79490
4706,36876
4706,48052
4706,95184
4706,23973
4706,73997
4706,44977
4706,46519
4706,53022
4706,135159
4837,70423
4837,1120
4837,131978
4837,138201
4837,16836
4837,29622
4837,99851
4837,72973
4837,9783
4837,59451
4837,7268
4837,121736
4837,108251
4837,63481
4837,122349
4837,114890
4837,130472
4837,10616
4837,39210
4837,106995
4837,99717
4837,50646
4837,121714
4837,43685
4837,127932
4837,81113
4837,140295
4837,27624
4837,68893
4837,70125
4837,114989
4837,126643
4837,101700
4857,46045
4857,58568
4857,11976
4857,120586
4857,66464
4857,8903
4857,78032
4857,69730
4857,41225
4857,65987
4857,124751
4857,109810
4857,6559
4857,122935
4857,2037
4857,44493
4857,52669
4857,128916
4857,25069
4857,208
4857,99161
4857,76226
4857,82767
4857,124845
4857,86107
4857,127898
4857,25827
4857,89603
4857,131346
4857,136645
4857,69392
